MachineID,Date,Failure,RepairType,DowntimeHours
55,2025-01-31,Y,Major,3.11
80,2025-03-24,Y,Major,3.68
35,2025-01-17,N,Minor,6.11
48,03/28/2025,N,Major,4.72
71,2025-01-05,Y,Major,3.57
30,04/29/2025,N,Minor,2.23
64,02/26/2025,N,Minor,10.35
100,2025-01-18,Y,Minor,14.99
11,2025-01-08,Y,Major,2.69
31,2025-01-16,N,Major,4.12
28,2025-01-06,N,Minor,0.03
56,2025-01-12,Y,Major,1.18
24,05/08/2025,Y,Minor,1.6
51,2025-01-24,Y,Minor,1.46
50,2025-02-24,Y,Minor,4.54
97,2025-01-04,Y,Minor,1.59
59,01/17/2025,N,Major,10.74
83,2025-01-03,Y,Minor,2.62
43,2025-01-08,Y,Major,0.11
49,01/19/2025,N,Major,9.71
82,2025-03-07,N,Minor,1.6
40,2025-01-26,N,Major,1.33
12,2025-01-07,N,Minor,8.92
13,01/08/2025,Y,Minor,5.26
40,01/20/2025,N,Major,9.0
78,2025-03-30,N,Minor,4.78
14,03/12/2025,N,Major,1.36
94,01/30/2025,Y,Major,0.83
24,2025-01-20,N,Minor,16.5
96,2025-01-06,Y,Major,10.1
92,2025-03-27,N,Major,16.87
71,01/01/2025,N,Major,11.94
60,2025-01-08,Y,Minor,3.31
71,2025-03-24,Y,Minor,8.78
86,2025-01-15,Y,Minor,0.01
20,2025-01-09,Y,Minor,3.84
82,01/30/2025,N,Major,10.64
6,2025-03-23,N,Minor,3.46
88,01/06/2025,Y,Minor,6.39
19,04/14/2025,N,Major,5.99
65,2025-01-09,Y,Major,10.42
71,2025-01-01,Y,Minor,13.62
77,03/25/2025,N,Major,0.55
16,2025-01-03,Y,Minor,0.17
53,01/09/2025,N,Major,2.46
31,01/31/2025,Y,Major,5.2
47,01/14/2025,N,Major,0.33
86,01/28/2025,N,Major,1.76
74,2025-02-24,Y,Minor,0.64
72,03/08/2025,Y,Major,2.54
17,01/09/2025,Y,Major,1.16
20,2025-01-01,Y,Major,9.38
77,2025-01-08,Y,Minor,4.05
49,2025-02-08,N,Minor,0.88
81,2025-01-04,Y,Minor,7.13
34,01/25/2025,N,Minor,8.07
51,2025-01-08,N,Major,5.61
44,01/28/2025,Y,Major,5.71
17,2025-02-14,Y,Minor,7.56
33,2025-01-11,Y,Major,2.49
90,2025-01-24,Y,Minor,3.79
67,2025-01-10,N,Major,2.46
99,2025-02-13,Y,Major,0.83
52,2025-02-24,Y,,3.86
30,01/10/2025,Y,Major,1.33
69,2025-01-28,Y,Major,2.05
29,01/04/2025,Y,Minor,4.69
57,2025-01-05,N,Minor,1.52
22,2025-01-23,N,Major,3.88
4,2025-03-13,N,Major,5.13
78,2025-01-02,Y,Major,21.03
15,2025-01-04,N,Minor,5.54
99,01/12/2025,N,Minor,0.04
22,01/15/2025,Y,Major,0.38
18,2025-01-31,Y,,0.62
45,2025-01-19,N,Major,8.0
45,2025-01-11,Y,Major,13.82
49,2025-02-18,Y,Major,12.54
11,2025-01-31,Y,Major,2.35
14,2025-01-18,Y,Minor,4.23
44,02/10/2025,Y,Major,5.33
38,01/01/2025,Y,Major,14.66
48,2025-03-06,Y,Major,2.6
43,2025-02-22,Y,Major,5.87
30,2025-02-03,Y,Minor,0.39
93,02/25/2025,Y,Minor,5.35
81,2025-02-23,Y,Minor,16.94
29,2025-01-11,Y,Major,2.36
93,2025-01-01,Y,Major,1.22
66,01/04/2025,N,Minor,2.95
88,2025-01-03,Y,Major,2.65
70,2025-03-30,N,Minor,14.35
73,2025-01-12,Y,Minor,3.79
67,2025-01-27,N,Minor,10.74
95,01/25/2025,Y,Minor,5.41
2,2025-01-16,Y,Minor,5.57
25,2025-01-08,Y,Minor,4.15
78,2025-01-16,Y,Major,3.28
17,2025-01-19,N,Minor,2.78
46,2025-03-12,Y,Major,11.16
66,2025-01-01,Y,Minor,6.03
100,2025-01-02,Y,Minor,0.8
43,01/06/2025,Y,,6.92
73,01/10/2025,N,Major,6.08
28,2025-01-04,N,Major,0.77
47,01/02/2025,Y,Minor,2.87
67,2025-05-13,N,Minor,4.49
26,2025-01-24,Y,Major,2.2
46,01/24/2025,N,Minor,1.45
89,2025-01-07,N,Minor,1.22
30,2025-01-10,Y,Major,1.49
5,2025-03-08,Y,Minor,1.71
33,2025-04-13,Y,Minor,1.83
64,2025-01-24,N,Major,0.02
68,2025-01-03,N,Minor,7.72
99,01/22/2025,Y,Minor,0.12
74,01/10/2025,N,Major,0.08
28,01/25/2025,Y,Major,17.57
100,01/03/2025,Y,Minor,0.43
26,2025-03-06,N,Minor,9.33
1,2025-02-02,N,Major,6.68
70,01/11/2025,N,Major,3.22
78,03/01/2025,Y,Minor,0.56
7,2025-01-08,N,Minor,5.83
95,2025-01-31,N,Minor,7.16
21,01/01/2025,N,Major,10.72
39,02/17/2025,Y,Major,0.48
81,2025-01-03,N,Minor,6.59
40,01/25/2025,Y,Minor,1.38
37,01/11/2025,N,Major,3.27
13,2025-01-04,N,Minor,0.74
98,2025-01-08,Y,Major,1.57
78,2025-01-09,Y,Major,1.17
76,2025-02-13,N,Major,12.99
5,2025-02-21,Y,Minor,3.24
10,01/16/2025,Y,Minor,3.19
43,2025-01-09,Y,Major,4.4
15,2025-02-17,Y,Minor,0.29
68,2025-01-02,Y,Minor,1.97
42,2025-01-29,Y,Major,0.37
72,2025-02-06,Y,Minor,0.11
51,2025-02-06,Y,Minor,3.84
1,2025-02-18,N,Major,12.21
